Date,TT,ST,CiT,AT,FT,IT
2002-01,1095.315066,367.773012,8.72288071,2.72045442,66.81287726,525.3856638
2002-02,641.0663642,286.0530998,10.04979928,2.2398696,62.29174578,226.1648024
2002-03,721.0449775,289.5563671,8.66791765,1.68767602,63.13728504,289.2697812
2002-04,1189.753819,303.8098167,9.82458649,3.8028149,71.53608851,567.7487361
2002-05,866.0102515,322.5249362,11.34374075,3.00670994,79.90239012,361.9845003
2002-06,1059.60487,323.2985817,10.79507643,4.15180032,81.15771396,446.3034241
2002-07,867.4217687,319.619494,21.93781229,2.87842929,76.29899733,313.9429689
2002-08,807.9360267,326.8921092,39.43001762,3.5726735,68.70526938,320.5216428
2002-09,1102.56594,332.2001953,30.81398301,3.34064545,77.64299909,483.0450722
2002-10,899.5798708,320.6954998,32.75210702,3.10617315,65.8876086,331.7502537
2002-11,805.5886246,312.0898249,23.91763137,3.29860185,59.75298564,324.300282
2002-12,1007.719442,323.3211502,33.87335489,4.0671118,69.0488049,376.5061455
2003-01,1174.12975,434.0318797,28.58741409,2.67420664,69.51183364,512.4604962
2003-02,782.24883,341.1031729,24.09127605,2.59525506,76.29291406,259.2968769
2003-03,854.0283609,347.8519713,26.21873875,1.87404301,75.48721748,293.9403355
2003-04,1332.1094,367.3720057,28.48138798,3.38648777,80.14117721,540.4404394
2003-05,995.0706331,388.603236,33.12887903,3.36414366,77.86817672,358.4885442
2003-06,1195.548315,396.4819388,29.14254124,3.52079188,83.5339465,461.2129726
2003-07,906.65018,383.8257575,30.3670816,3.32164323,72.80271475,315.6242017
2003-08,885.0903014,386.0743782,28.6008088,3.38882796,84.44717004,334.9521388
2003-09,1198.079034,401.3248913,30.45640182,3.22814764,82.67745663,482.2550284
2003-10,986.9695029,405.5569902,33.50910595,3.65448462,84.78301229,339.1831167
2003-11,911.3509672,368.8042151,21.04457663,3.67386389,79.55464673,368.0229377
2003-12,1069.644882,390.0705376,31.7275156,3.080863,77.3641252,370.1998358
2004-01,1221.692702,458.2015805,24.75564507,3.06436175,70.54957196,519.4870343
2004-02,785.0037011,359.1071527,23.50959237,2.55362819,77.31203068,240.4369553
2004-03,967.7616074,384.2909272,27.60537754,2.27074068,88.8567439,323.0896335
2004-04,1360.870544,394.9259611,29.24883386,3.71138135,76.01545037,582.476006
2004-05,1033.350423,391.0239344,27.13278318,3.22104664,88.21591243,432.3942662
2004-06,1246.591114,436.2390006,30.75793245,3.34025529,85.80734712,440.6113067
2004-07,964.4852945,409.5513306,32.25515721,3.08864717,79.59823157,341.174572
2004-08,993.8912502,417.7117396,30.31498837,3.2291205,80.46035447,397.2542216
2004-09,1224.61104,421.5530848,29.30873853,3.54324284,75.8397553,467.5744821
2004-10,1060.060649,412.6236384,29.09102602,3.39694073,82.71279586,372.3037275
2004-11,1026.800487,403.0947012,27.59848211,2.64114896,83.3349505,385.0107174
2004-12,1114.655332,397.1487553,27.95810662,5.03504059,72.46287784,369.6578243
2005-01,1265.845187,491.1101036,27.03375728,3.25792029,82.27771173,594.8984015
2005-02,788.5775536,375.5664587,23.94104789,1.71825121,80.31625395,217.917674
2005-03,999.6089579,393.4821607,29.12434625,2.70865725,78.7309024,350.4063413
2005-04,1574.903121,426.8434459,28.26011375,3.2599238,89.4689989,675.9904797
2005-05,1128.56573,423.2769404,27.91855932,3.22723926,88.77122672,478.1268812
2005-06,1282.931545,429.0865236,30.2736245,3.61322955,89.09283785,462.6614821
2005-07,1049.769334,437.1001494,30.55098001,3.87685846,84.89446285,356.0530194
2005-08,1010.273998,431.544353,33.53597414,2.98674707,83.35921159,397.9931982
2005-09,1331.118676,444.8690378,31.30198025,3.666691,81.74345728,506.0171154
2005-10,1122.604534,427.3527532,28.52872392,3.93024466,72.50836183,427.8607828
2005-11,1140.315977,466.6223814,30.34111719,3.42692582,86.74918329,389.2640065
2005-12,1231.300175,437.766235,29.22462119,3.53570921,71.0143438,415.3657914
2006-01,1419.985002,529.3002703,29.97922647,3.74989178,72.56015252,661.0529102
2006-02,832.3593338,410.9774848,24.4499332,2.32646405,79.20834773,228.9287667
2006-03,1037.629761,403.9757434,29.68436799,2.42061389,79.04899755,367.7188172
2006-04,1729.787209,448.4823994,26.8335187,3.34850541,87.51283865,804.7279549
2006-05,1150.481573,443.8361238,30.74104819,3.29481039,97.07700761,436.3138953
2006-06,1383.302455,454.9553423,30.35346272,3.96610517,80.2211753,509.8270426
2006-07,1120.793095,453.4861733,30.94444186,3.92655099,71.37139378,434.6896045
2006-08,1004.525366,435.5590737,32.8280872,3.11853795,93.71929868,371.0463462
2006-09,1411.772227,466.7970559,30.30929409,3.69402458,84.21204729,534.6734908
2006-10,1150.744886,456.8215118,34.25390469,3.16182257,72.09682887,440.2233558
2006-11,1009.242965,424.4613501,27.5870016,2.87780419,75.90413047,377.9824466
2006-12,1222.662239,428.1885745,31.044663,3.85184413,74.31497987,438.8346931
2007-01,1491.28368,533.8813383,28.2840443,3.88486235,66.42939726,672.6405754
2007-02,866.7647192,412.0043192,24.90811163,2.43232578,81.80847407,259.4442842
2007-03,1060.134651,415.7944449,28.16437836,3.01932872,59.65905263,392.9405615
2007-04,1800.081822,472.4080754,27.72680509,3.00311733,77.45557197,840.3592498
2007-05,1285.204309,439.1475758,35.5603973,3.41723622,117.3471504,531.4091475
2007-06,1456.960608,484.9471515,36.02129268,3.3168665,106.7837948,544.6390336
2007-07,1157.321133,475.5474841,44.89352062,4.85714728,81.46162867,421.1669821
2007-08,1064.387514,464.0109987,50.78500285,3.57710171,78.60477273,392.1443584
2007-09,1517.118835,469.0676106,41.54291223,3.69495902,84.90317499,614.0268858
2007-10,1167.865115,451.4111708,48.13114187,3.42090355,79.69538832,425.0868669
2007-11,1084.161809,451.2801356,45.73014318,5.43051253,88.19479167,396.5874184
2007-12,1305.467987,462.7254898,40.73430129,4.50850426,82.40911052,490.5163619
2008-01,1479.600496,537.0670224,43.25615311,3.52954454,74.8665462,684.6659656
2008-02,894.2375839,432.4439528,38.66199429,2.47710751,72.25504648,270.6270999
2008-03,1178.616375,440.4643043,39.49620908,2.71170649,82.30852558,462.2033854
2008-04,1961.471115,476.0131203,42.89670499,2.80947575,81.75273499,977.7419673
2008-05,1260.479998,521.0874699,47.20704477,3.38106877,82.89030984,498.9907551
2008-06,1566.447812,557.7116207,41.94729999,4.30977533,76.88858286,590.1936965
2008-07,1269.225456,577.2256429,50.25436866,4.64734604,83.68971397,410.8587129
